subject_id,specimen_site,sampleevent,genus,originalsampletype,cx_positive,distance_meters,mean_distance_meters
ICE_0059,ES3,1D,Acinetobacter,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0059,ES3,1D,Citrobacter,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0059,ES3,1D,Clostridioides,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0059,ES3,1D,Enterobacter,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0059,ES3,1D,Enterococcus,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0059,ES3,1D,Escherichia,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0059,ES3,1D,Klebsiella,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0059,ES3,1D,Pseudomonas,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0059,ES3,1D,Raoultella,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0059,ES3,1D,Staphylococcus,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0059,ES3,1D,Stenotrophomonas,Environmental Swab,FALSE,2.3225125,2.710147600683162
ICE_0068,ES1,1D,Acinetobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,1D,Citrobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,1D,Clostridioides,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,1D,Enterobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,1D,Enterococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,1D,Escherichia,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,1D,Klebsiella,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,1D,Pseudomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,1D,Raoultella,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,1D,Staphylococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,1D,Stenotrophomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES2,1D,Acinetobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,1D,Citrobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,1D,Clostridioides,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,1D,Enterobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,1D,Enterococcus,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,1D,Escherichia,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,1D,Klebsiella,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,1D,Pseudomonas,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,1D,Raoultella,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,1D,Staphylococcus,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,1D,Stenotrophomonas,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES3,1D,Acinetobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,1D,Citrobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,1D,Clostridioides,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,1D,Enterobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,1D,Enterococcus,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,1D,Escherichia,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,1D,Klebsiella,Environmental Swab,TRUE,2.1129625,2.710147600683162
ICE_0068,ES3,1D,Pseudomonas,Environmental Swab,TRUE,2.1129625,2.710147600683162
ICE_0068,ES3,1D,Raoultella,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,1D,Staphylococcus,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,1D,Stenotrophomonas,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES1,2D,Acinetobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2D,Citrobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2D,Clostridioides,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2D,Enterobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2D,Enterococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2D,Escherichia,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2D,Klebsiella,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2D,Pseudomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2D,Raoultella,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2D,Staphylococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2D,Stenotrophomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES2,2D,Acinetobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2D,Citrobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2D,Clostridioides,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2D,Enterobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2D,Enterococcus,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2D,Escherichia,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2D,Klebsiella,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2D,Pseudomonas,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2D,Raoultella,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2D,Staphylococcus,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2D,Stenotrophomonas,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES3,2D,Acinetobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2D,Citrobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2D,Clostridioides,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2D,Enterobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2D,Enterococcus,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2D,Escherichia,Environmental Swab,TRUE,2.1129625,2.710147600683162
ICE_0068,ES3,2D,Klebsiella,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2D,Pseudomonas,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2D,Raoultella,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2D,Staphylococcus,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2D,Stenotrophomonas,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES1,2W,Acinetobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2W,Citrobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2W,Clostridioides,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2W,Enterobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2W,Enterococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2W,Escherichia,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2W,Klebsiella,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2W,Pseudomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2W,Raoultella,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2W,Staphylococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,2W,Stenotrophomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES2,2W,Acinetobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2W,Citrobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2W,Clostridioides,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2W,Enterobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2W,Enterococcus,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2W,Escherichia,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2W,Klebsiella,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2W,Pseudomonas,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2W,Raoultella,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2W,Staphylococcus,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,2W,Stenotrophomonas,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES3,2W,Acinetobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2W,Citrobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2W,Clostridioides,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2W,Enterobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2W,Enterococcus,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2W,Escherichia,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2W,Klebsiella,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2W,Pseudomonas,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2W,Raoultella,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2W,Staphylococcus,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,2W,Stenotrophomonas,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES1,4D,Acinetobacter,Environmental Swab,FALSE,0.5,0.5
